,comp_id,top3
0,2477,"[2635, 2645, 2646]"
1,15445,[]
2,7499,"[7499, 15453, 6201]"
3,7489,[]
4,8935,"[37834, 37649, 46220]"
5,475,"[713, 39243, 478]"
6,1039,"[2952, 2983, 2953]"
7,1040,"[2953, 2984, 2955]"
8,1407,"[1039, 2952, 2983]"
9,545,[]
10,202,"[12762, 38351, 2640]"
11,207,[]
12,7451,"[5763, 7447, 5762]"
13,15637,"[37269, 15636, 15661]"
14,656,"[14417, 14418, 30488]"
15,1233,[]
16,2019,"[2015, 2371, 2021]"
17,2328,"[1452, 34508, 2313]"
18,2650,[]
19,3214,"[2969, 3231, 3222]"
20,3225,"[2969, 3222, 3231]"
21,4098,"[4098, 9479, 10579]"
22,7229,"[1498, 3729, 3731]"
23,7614,"[36974, 36356, 36975]"
24,11406,[]
25,13563,[]
26,14029,"[14029, 14030, 14031]"
27,14031,"[14029, 14030, 14031]"
28,15092,"[30797, 15093, 2496]"
29,15454,"[964, 728, 3081]"
30,32052,[]
31,32744,"[31784, 8571, 8570]"
32,32964,"[17156, 33084, 32078]"
33,33137,"[35981, 35982, 35980]"
34,32731,"[31126, 20259, 32427]"
35,508,[]
36,558,"[45923, 964, 728]"
37,665,"[34188, 34187, 11363]"
38,921,"[964, 728, 3081]"
39,2786,"[32229, 31578, 31593]"
40,8382,"[37743, 31478, 8383]"
41,9686,"[3630, 9686, 20656]"
42,26053,"[3918, 24308, 27115]"
43,37301,"[37301, 31347, 47644]"
44,37,"[732, 1969, 12063]"
45,43,"[253, 9820, 195]"
46,710,"[12716, 37318, 12696]"
47,776,[]
48,24086,"[35694, 5629, 8135]"
49,9211,"[9211, 12084, 15447]"
50,604,"[3089, 15499, 728]"
51,878,"[13344, 20734, 36628]"
52,7621,"[21553, 22989, 7723]"
53,2049,"[39268, 2045, 2047]"
54,3527,"[3527, 4080, 2347]"
55,120,"[120, 121, 7115]"
56,37220,"[37219, 37220, 37221]"
57,37221,"[37219, 37220, 37221]"
58,15532,"[31905, 5732, 4923]"
59,1472,[]
60,3180,"[14497, 4708, 14479]"
61,312,[]
62,8428,"[35046, 21647, 10217]"
63,8429,"[2662, 9130, 12665]"
64,30,"[11852, 1025, 41]"
65,118,"[810, 12793, 27]"
66,897,"[965, 2345, 2354]"
67,37774,"[5337, 5759, 38887]"
68,6578,"[6581, 13171, 13172]"
69,6581,"[6578, 13171, 13172]"
70,9829,"[23297, 46945, 46948]"
71,12715,"[12715, 8429, 2662]"
72,38360,"[38361, 2954, 2982]"
73,660,"[11852, 30, 41]"
74,1025,"[30, 11852, 5241]"
75,4336,"[47136, 21349, 22776]"
76,2347,"[3736, 3525, 3527]"
77,728,"[604, 922, 2679]"
78,13655,"[24661, 12279, 13961]"
79,13680,[]
80,13694,[]
81,13708,[]
82,13765,[]
83,13856,[]
84,13869,"[4822, 6066, 12333]"
85,13920,[]
86,13961,"[16776, 13655, 12279]"
87,7753,[]
88,37522,"[37521, 37523, 37524]"
89,14196,[]
90,16780,[]
91,37796,"[20825, 37797, 38355]"
92,37797,"[37797, 38355, 37796]"
93,38886,[]
94,18582,"[36373, 13490, 26889]"
95,9212,"[14071, 14084, 14087]"
96,10240,"[10240, 15841, 33377]"
97,38153,[]
98,25584,"[11190, 20070, 20297]"
99,34880,[]
100,314,[]
101,9045,"[9045, 3601, 30353]"
102,123,"[8721, 10575, 31799]"
103,12791,"[32824, 12701, 12704]"
104,1881,[]
105,2265,[]
106,932,"[968, 1641, 903]"
107,1499,"[897, 965, 2345]"
108,46946,"[46954, 46962, 15475]"
109,46961,"[46948, 46953, 46956]"
110,2046,[]
111,15245,[]
112,1178,"[3084, 604, 1185]"
113,39403,"[3001, 3002, 3000]"
114,15529,"[37870, 5709, 15540]"
115,3758,[]
116,1853,[]
117,11600,"[27999, 28001, 28000]"
118,14204,"[14210, 14213, 4750]"
119,37438,[]
120,416,"[39363, 24216, 6857]"
121,2653,[]
122,422,[]
123,5427,[]
124,11483,"[30399, 1034, 2313]"
125,9075,"[19817, 9073, 4430]"
126,18769,"[9841, 21949, 17832]"
127,3736,"[3736, 3525, 3527]"
128,34876,[]
129,9796,[]
130,8179,"[9672, 9679, 9680]"
131,34168,[]
132,1341,"[17217, 23232, 7501]"
133,36200,"[36200, 38154, 46308]"
134,35,[]
135,7920,"[8556, 7919, 45994]"
136,74,"[423, 16216, 16217]"
137,10707,[]
